1999.833273,1.593300416
1999.916607,1.619978242
1999.99994,1.646542455
2000.083273,1.673154817
2000.166607,1.700030267
2000.24994,1.726478029
2000.333273,1.751796421
2000.416607,1.777219668
2000.49994,1.803868582
2000.583273,1.828415692
2000.666606,1.847206957
2000.74994,1.862765979
2000.833273,1.878961121
2000.916606,1.896465561
2000.99994,1.914809951
2001.083273,1.932761278
2001.166606,1.949454717
2001.24994,1.966608507
2001.333273,1.985526488
2001.416606,2.00286015
2001.499939,2.01531504
2001.583273,2.024537233
2001.666606,2.032631887
2001.749939,2.03891447
2001.833273,2.042773357
2001.916606,2.046122906
2001.999939,2.05070889
2002.083273,2.055877198
2002.166606,2.060390975
2002.249939,2.062746279
2002.333272,2.062135836
2002.416606,2.059981868
2002.499939,2.057209112
2002.583272,2.052175355
2002.666606,2.043988119
2002.749939,2.034958552
2002.833272,2.026723584
2002.916606,2.017869977
2002.999939,2.007284718
2003.083272,1.995722587
2003.166605,1.984335864
2003.249939,1.974546365
2003.333272,1.965922989
2003.416605,1.953955056
2003.499939,1.936330727
2003.583272,1.916349766
2003.666605,1.896207346
2003.749939,1.874600175
2003.833272,1.851321945
2003.916605,1.828939538
2003.999938,1.808518049
2004.083272,1.787950577
2004.166605,1.766142034
2004.249938,1.744230422
2004.333272,1.722648236
2004.416605,1.70038587
2004.499938,1.677985101
2004.583272,1.658486339
2004.666605,1.642036353
2004.749938,1.624363297
2004.833271,1.604491598
2004.916605,1.586390709
2004.999938,1.571034676
2005.083271,1.555043637
2005.166605,1.536875286
2005.249938,1.517672059
2005.333271,1.499156863
2005.416605,1.483493042
2005.499938,1.471405785
2005.583271,1.461974471
2005.666604,1.454673759
2005.749938,1.449556205
2005.833271,1.447999106
2005.916604,1.452575289
2005.999938,1.462768087
2006.083271,1.475041753
2006.166604,1.487206004
2006.249938,1.498552725
2006.333271,1.510368104
2006.416604,1.525507276
2006.499937,1.544101599
2006.583271,1.564015623
2006.666604,1.584575914
2006.749937,1.606258828
2006.833271,1.628195668
2006.916604,1.648671776
2006.999937,1.668961051
2007.083271,1.692189119
2007.166604,1.716878283
2007.249937,1.738741424
2007.33327,1.75873488
2007.416604,1.780803469
2007.499937,1.802856888
2007.58327,1.819542131
2007.666604,1.831727825
2007.749937,1.843677692
2007.83327,1.855893765
2007.916604,1.866944162
2007.999937,1.87768203
2008.08327,1.889853466
2008.166603,1.902029911
2008.249937,1.911303265
2008.33327,1.916140322
2008.416603,1.91598316
2008.499937,1.91254673
