Surface Area,Volume,Elevation
0,0,1270
0,0,1270.01
0,0,1270.02
0,0,1270.03
0,0,1270.04
0,0,1270.05
0,0,1270.06
0,0,1270.07
0,0,1270.08
0,0,1270.09
0,0,1270.1
17.57,0.00014439677734199,1270.11
18.48,0.000324732568357342,1270.12
19.58,0.000515473242189658,1270.13
20.72,0.000716866894533338,1270.14
21.71,0.000928816894533255,1270.15
22.87,0.00115153398437689,1270.16
23.91,0.00138543242187668,1270.17
25.12,0.00163081997070474,1270.18
26.16,0.00188725058593886,1270.19
27.34,0.0021548322753919,1270.2
28.66,0.00243437392578244,1270.21
29.78,0.00272629116211026,1270.22
31.05,0.00303096166992235,1270.23
32.3,0.00334730029296886,1270.24
33.46,0.00367606689453125,1270.25
34.7,0.0040168974609374,1270.26
36.09,0.00437186469726524,1270.27
37.37,0.00473889785156134,1270.28
38.58,0.0051191558105455,1270.29
39.85,0.00551141845702982,1270.3
41.38,0.00591745209960685,1270.31
42.69,0.00633765058593461,1270.32
44.06,0.00677091938476186,1270.33
45.38,0.0072181318847615,1270.34
46.8,0.00767922973632378,1270.35
48.34,0.00815463388671417,1270.36
49.73,0.00864481923827612,1270.37
51.12,0.00914954409180236,1270.38
52.59,0.00966808583984938,1270.39
54.13,0.0102015520019573,1270.4
68.36,0.0107972435546916,1270.41
70.02,0.011489582861332,1270.42
71.65,0.0121980534668001,1270.43
73.26,0.0129225665039092,1270.44
74.87,0.0136632358398448,1270.45
76.55,0.0144208149414072,1270.46
78.22,0.015195209082032,1270.47
79.92,0.0159861080566409,1270.48
81.65,0.0167939248046876,1270.49
83.18,0.0176181579589844,1270.5
85.06,0.0184597064453124,1270.51
86.87,0.019318808691406,1270.52
88.58,0.020195921728515,1270.53
90.38,0.0210909373046866,1270.54
92.29,0.0220040202636709,1270.55
94.02,0.0229355908691383,1270.56
95.99,0.0238849420898413,1270.57
97.79,0.0248537114746066,1270.58
99.74,0.0258413644042939,1270.59
101.73,0.0268487360839813,1270.6
103.54,0.0278749139160075,1270.61
105.51,0.0289203088867105,1270.62
107.47,0.0299853919921956,1270.63
109.41,0.0310697034668047,1270.64
111.59,0.0321744533691436,1270.65
113.66,0.033300386376956,1270.66
115.48,0.0344457589355495,1270.67
117.56,0.0356108830078147,1270.68
119.72,0.0367968415039083,1270.69
121.66,0.0380038652343759,1270.7
123.88,0.0392315663574227,1270.71
225.78,0.0413418282714851,1270.72
232.45,0.0436330837402347,1270.73
238.85,0.0459883322753907,1270.74
245.41,0.0484100842285156,1270.75
252.32,0.0509003020507811,1270.76
259.18,0.0534579237304685,1270.77
265.77,0.0560829352050774,1270.78
272.95,0.0587772053222647,1270.79
279.53,0.0615395578613271,1270.8
286.68,0.0643713859374979,1270.81
293.71,0.0672739626953102,1270.82
300.84,0.0702464419433567,1270.83
308.1,0.0732907102050752,1270.84
315.06,0.0764051284179658,1270.85
322.2,0.0795912785644464,1270.86
329.42,0.0828476033691338,1270.87
336.52,0.0861773619628975,1270.88
343.93,0.0895804270507879,1270.89
351.25,0.0930559851074248,1270.9
358.55,0.0966048969726591,1270.91
365.95,0.100227292236331,1270.92
373.48,0.103923686376955,1270.93
381.08,0.10769655864258,1270.94
388.73,0.111545373779298,1270.95
396.28,0.115469675244141,1270.96
403.83,0.119469913232423,1270.97
411.28,0.123545035986328,1270.98
419.08,0.127697027148438,1270.99
426.84,0.131927209472656,1271
434.78,0.136236449902344,1271.01
468.87,0.1407303296875,1271.02
473.43,0.145442243261718,1271.03
478.35,0.150201565917968,1271.04
482.86,0.155008714111327,1271.05
488,0.159863507080076,1271.06
492.82,0.164768458349607,1271.07
497.56,0.169719807324216,1271.08
502.52,0.174720956494138,1271.09
507.34,0.179769935058591,1271.1
512.12,0.184867562792963,1271.11
516.96,0.190013161425775,1271.12
521.71,0.195207031445319,1271.13
526.64,0.200449233789069,1271.14
531.49,0.205739984375003,1271.15
536.47,0.211079539599612,1271.16
541.08,0.216467220605471,1271.17
546.22,0.221903962792971,1271.18
551.04,0.227390612695315,1271.19
556.26,0.232926846191407,1271.2
560.83,0.238513411328126,1271.21
565.84,0.244146869091797,1271.22
570.8,0.249831213134766,1271.23
575.71,0.2555631734375,1271.24
580.62,0.26134443359375,1271.25
585.54,0.267176383886719,1271.26
590.46,0.273056237353515,1271.27
595.73,0.278988425878906,1271.28
600.58,0.284970372851562,1271.29
605.51,0.29100113720703,1271.3
610.59,0.297082480078123,1271.31
615.47,0.303212327490232,1271.32
629.34,0.309475917041013,1271.33
633.37,0.315789745312497,1271.34
637.67,0.322143972656247,1271.35
641.59,0.328541001074213,1271.36
645.68,0.334977377587885,1271.37
649.93,0.341454833105475,1271.38
654.03,0.347974464892584,1271.39
658.08,0.354535170166018,1271.4
662.32,0.361137939501956,1271.41
666.66,0.367783085009768,1271.42
670.89,0.374471659960939,1271.43
674.9,0.381199048095705,1271.44
679.01,0.387968572265626,1271.45
683.08,0.394780125195313,1271.46
687.68,0.401634355859376,1271.47
691.66,0.408531289746094,1271.48
695.78,0.415467781054688,1271.49
700.07,0.422447624511719,1271.5
704.31,0.429469041162109,1271.51
708.43,0.436533040917969,1271.52
712.6,0.443638095214843,1271.53
717.04,0.45078552211914,1271.54
721.06,0.457975998046874,1271.55
725.27,0.465207142382811,1271.56
729.63,0.472481346093748,1271.57
733.6,0.479797146728514,1271.58
737.86,0.487153997900388,1271.59
742.14,0.494553505615232,1271.6
746.45,0.501996512939448,1271.61
750.49,0.509481318310542,1271.62
769.17,0.517070384912115,1271.63
773.12,0.524782309033208,1271.64
776.94,0.532532094970706,1271.65
780.83,0.540319998486331,1271.66
784.84,0.548149069531252,1271.67
788.82,0.556017634179689,1271.68
792.55,0.563924397460939,1271.69
796.24,0.571868228271485,1271.7
800.06,0.579850777490235,1271.71
804.25,0.587872552490235,1271.72
807.95,0.595933984619141,1271.73
811.86,0.604032604833985,1271.74
815.62,0.612170515136719,1271.75
819.56,0.620346611962891,1271.76
823.19,0.628560191601562,1271.77
826.98,0.636811390966796,1271.78
831.03,0.645102028857421,1271.79
834.82,0.653431892333984,1271.8
838.75,0.661799145507811,1271.81
842.81,0.670206385058592,1271.82
846.33,0.678651821142576,1271.83
850.25,0.68713383666992,1271.84
853.92,0.695655022460935,1271.85
857.73,0.704214570019526,1271.86
861.69,0.712810918896479,1271.87
865.51,0.721446354931646,1271.88
869.46,0.730121332373052,1271.89
873.26,0.738835756591799,1271.9
877.12,0.747588283251955,1271.91
880.7,0.75637672949219,1271.92
884.5,0.765203395996096,1271.93
890.37,0.774089748242189,1271.94
894.16,0.783011017333985,1271.95
897.55,0.791968424804688,1271.96
901.21,0.800962421923829,1271.97
904.6,0.809991074951172,1271.98
908.24,0.819054619042969,1271.99
911.85,0.828155435791016,1272
915.16,0.837290528222656,1272.01
918.52,0.846459207373047,1272.02
922.17,0.855663558251953,1272.03
925.71,0.864903180273437,1272.04
929.06,0.874176972167968,1272.05
932.69,0.88348670517578,1272.06
936.72,0.892833892431639,1272.07
940.21,0.902218762890623,1272.08
943.7,0.911638413818357,1272.09
947.25,0.921092712402341,1272.1
950.8,0.930582260253901,1272.11
954.4,0.94010797070312,1272.12
957.99,0.949670275927739,1272.13
961.87,0.959270075146489,1272.14
965.41,0.968905558837893,1272.15
968.75,0.97857702636719,1272.16
972.6,0.988283679687502,1272.17
976.22,0.998028208398439,1272.18
979.63,1.00780696074219,1272.19
983.42,1.01762260717774,1272.2
986.96,1.02747530849609,1272.21
990.55,1.03736275170899,1272.22
994.12,1.04728700917969,1272.23
1000.01,1.0572579859375,1272.24
1003.28,1.06727454467773,1272.25
1006.71,1.07732433999023,1272.26
